routine_id,recommendation_rule_id,skin_type,acne_level_0_5,dryness_level_0_5,oiliness_level_0_5,sensitivity_level_0_5,recommended_cleanser,recommended_moisturizer,recommended_serum,recommended_spf,recommended_treatment,source_datasets,am_routine,pm_routine
RTN0000001,REC0000001,combination,0,0,0,0,ultra gentle cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50 matte,1) Cleanser: ultra gentle cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: rich cream moisturizer
RTN0000337,REC0000337,combination,5,0,4,1,ultra gentle cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: mineral spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: barrier repair | 3) Moisturizer: ceramide moisturizer
RTN0000338,REC0000338,combination,5,0,4,2,acne control cleanser,ceramide moisturizer,peptide serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: peptide serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: barrier repair | 3) Moisturizer: ceramide moisturizer
RTN0000339,REC0000339,combination,5,0,4,5,acne control cleanser,oil free gel moisturizer,niacinamide serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf30,1) Cleanser: acne control cleanser | 2) Treatment: calming treatment | 3) Moisturizer: oil free gel moisturizer
RTN0000340,REC0000340,combination,5,0,5,2,milk cleanser,soothing moisturizer,centella serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: centella serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: milk cleanser | 2) Treatment: calming treatment | 3) Moisturizer: soothing moisturizer
RTN0000341,REC0000341,combination,5,0,5,4,ultra gentle cleanser,rich cream moisturizer,centella serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: centella serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50 matte,1) Cleanser: ultra gentle cleanser | 2) Treatment: calming treatment | 3) Moisturizer: rich cream moisturizer
RTN0000342,REC0000342,combination,5,0,5,5,gentle foam cleanser,rich cream moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: retinol serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf30,1) Cleanser: gentle foam cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: rich cream moisturizer
RTN0000343,REC0000343,combination,5,1,0,1,acne control cleanser,ceramide moisturizer,centella serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: centella serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf30,1) Cleanser: acne control cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: ceramide moisturizer
RTN0000344,REC0000344,combination,5,1,0,1,acne control cleanser,soothing moisturizer,hyaluronic acid serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50 matte,1) Cleanser: acne control cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: soothing moisturizer
RTN0000345,REC0000345,combination,5,1,0,2,gentle foam cleanser,soothing moisturizer,peptide serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: peptide serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: hydrating mask | 3) Moisturizer: soothing moisturizer
RTN0000346,REC0000346,combination,5,1,0,2,salicylic acid cleanser,light lotion moisturizer,niacinamide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: calming treatment | 3) Moisturizer: light lotion moisturizer
RTN0000347,REC0000347,combination,5,1,0,4,gentle foam cleanser,light lotion moisturizer,peptide serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: peptide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50 matte,1) Cleanser: gentle foam cleanser | 2) Treatment: barrier repair | 3) Moisturizer: light lotion moisturizer
RTN0000348,REC0000348,combination,5,1,1,0,ultra gentle cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: mineral spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: calming treatment | 3) Moisturizer: rich cream moisturizer
RTN0000349,REC0000349,combination,5,1,1,1,salicylic acid cleanser,oil free gel moisturizer,retinol serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: retinol serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf30,1) Cleanser: salicylic acid cleanser | 2) Treatment: barrier repair | 3) Moisturizer: oil free gel moisturizer
RTN0000350,REC0000350,combination,5,1,1,2,ultra gentle cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf30,1) Cleanser: ultra gentle cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: light lotion moisturizer
RTN0000351,REC0000351,combination,5,1,2,3,salicylic acid cleanser,oil free gel moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: oil free gel moisturizer
RTN0000352,REC0000352,combination,5,1,2,3,ultra gentle cleanser,light lotion moisturizer,vitamin c serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50 matte,1) Cleanser: ultra gentle cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: light lotion moisturizer
RTN0000353,REC0000353,combination,5,1,2,4,acne control cleanser,oil free gel moisturizer,hyaluronic acid serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: oil free gel moisturizer
RTN0000354,REC0000354,combination,5,1,2,4,hydrating cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: mineral spf50,1) Cleanser: hydrating cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: ceramide moisturizer
RTN0000355,REC0000355,combination,5,1,3,2,salicylic acid cleanser,oil free gel moisturizer,retinol serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: retinol serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: mineral spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: barrier repair | 3) Moisturizer: oil free gel moisturizer
RTN0000356,REC0000356,combination,5,1,3,2,ultra gentle cleanser,light lotion moisturizer,vitamin c serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: mineral spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: light lotion moisturizer
RTN0000357,REC0000357,combination,5,1,3,5,milk cleanser,soothing moisturizer,peptide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: peptide serum | 3) Moisturizer: soothing moisturizer | 4) SPF: mineral spf50,1) Cleanser: milk cleanser | 2) Treatment: barrier repair | 3) Moisturizer: soothing moisturizer
RTN0000358,REC0000358,combination,5,1,4,4,acne control cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: mineral spf50,1) Cleanser: acne control cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: ceramide moisturizer
RTN0000359,REC0000359,combination,5,1,4,4,hydrating cleanser,oil free gel moisturizer,centella serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: centella serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50,1) Cleanser: hydrating cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: oil free gel moisturizer
RTN0000360,REC0000360,combination,5,1,4,5,acne control cleanser,light lotion moisturizer,peptide serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: peptide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50 matte,1) Cleanser: acne control cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: light lotion moisturizer
RTN0000361,REC0000361,combination,5,1,4,5,hydrating cleanser,rich cream moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: hydrating cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: rich cream moisturizer
RTN0000362,REC0000362,combination,5,1,5,4,salicylic acid cleanser,light lotion moisturizer,hyaluronic acid serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50 matte,1) Cleanser: salicylic acid cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: light lotion moisturizer
RTN0000363,REC0000363,combination,5,2,0,1,milk cleanser,ceramide moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: peptide serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50,1) Cleanser: milk cleanser | 2) Treatment: calming treatment | 3) Moisturizer: ceramide moisturizer
RTN0000364,REC0000364,combination,5,2,2,2,salicylic acid cleanser,rich cream moisturizer,peptide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: peptide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50 matte,1) Cleanser: salicylic acid cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: rich cream moisturizer
RTN0000365,REC0000365,combination,5,2,3,0,acne control cleanser,oil free gel moisturizer,retinol serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: retinol serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf30,1) Cleanser: acne control cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: oil free gel moisturizer
RTN0000366,REC0000366,combination,5,2,3,0,gentle foam cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: mineral spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: ceramide moisturizer
RTN0000367,REC0000367,combination,5,2,3,4,gentle foam cleanser,oil free gel moisturizer,retinol serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: retinol serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf30,1) Cleanser: gentle foam cleanser | 2) Treatment: calming treatment | 3) Moisturizer: oil free gel moisturizer
RTN0000368,REC0000368,combination,5,2,4,0,salicylic acid cleanser,light lotion moisturizer,peptide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: peptide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: light lotion moisturizer
RTN0000369,REC0000369,combination,5,2,4,2,salicylic acid cleanser,light lotion moisturizer,centella serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: centella serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50 matte,1) Cleanser: salicylic acid cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: light lotion moisturizer
RTN0000370,REC0000370,combination,5,2,4,3,ultra gentle cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: mineral spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: light lotion moisturizer
RTN0000371,REC0000371,combination,5,2,4,3,ultra gentle cleanser,rich cream moisturizer,vitamin c serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: hydrating mask | 3) Moisturizer: rich cream moisturizer
RTN0000372,REC0000372,combination,5,2,5,2,hydrating cleanser,oil free gel moisturizer,niacinamide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf30,1) Cleanser: hydrating cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: oil free gel moisturizer
RTN0000373,REC0000373,combination,5,2,5,3,milk cleanser,ceramide moisturizer,vitamin c serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf30,1) Cleanser: milk cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: ceramide moisturizer
RTN0000374,REC0000374,combination,5,3,0,3,hydrating cleanser,soothing moisturizer,retinol serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: retinol serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: hydrating cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: soothing moisturizer
RTN0000375,REC0000375,combination,5,3,0,5,acne control cleanser,oil free gel moisturizer,hyaluronic acid serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50 matte,1) Cleanser: acne control cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: oil free gel moisturizer
RTN0000376,REC0000376,combination,5,3,1,0,salicylic acid cleanser,ceramide moisturizer,retinol serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: retinol serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50 matte,1) Cleanser: salicylic acid cleanser | 2) Treatment: calming treatment | 3) Moisturizer: ceramide moisturizer
RTN0000377,REC0000377,combination,5,3,1,2,ultra gentle cleanser,rich cream moisturizer,niacinamide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf30,1) Cleanser: ultra gentle cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: rich cream moisturizer
RTN0000378,REC0000378,combination,5,3,2,0,acne control cleanser,soothing moisturizer,niacinamide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf30,1) Cleanser: acne control cleanser | 2) Treatment: barrier repair | 3) Moisturizer: soothing moisturizer
RTN0000379,REC0000379,combination,5,3,2,2,gentle foam cleanser,light lotion moisturizer,peptide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: peptide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: mineral spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: light lotion moisturizer
RTN0000380,REC0000380,combination,5,3,2,3,acne control cleanser,oil free gel moisturizer,retinol serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: retinol serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: calming treatment | 3) Moisturizer: oil free gel moisturizer
RTN0000381,REC0000381,combination,5,3,2,3,acne control cleanser,rich cream moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: rich cream moisturizer
RTN0000382,REC0000382,combination,5,3,2,5,gentle foam cleanser,light lotion moisturizer,centella serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: centella serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: hydrating mask | 3) Moisturizer: light lotion moisturizer
RTN0000383,REC0000383,combination,5,3,3,0,acne control cleanser,rich cream moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: peptide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: calming treatment | 3) Moisturizer: rich cream moisturizer
RTN0000384,REC0000384,combination,5,3,3,0,hydrating cleanser,light lotion moisturizer,retinol serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: retinol serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf30,1) Cleanser: hydrating cleanser | 2) Treatment: hydrating mask | 3) Moisturizer: light lotion moisturizer
RTN0000385,REC0000385,combination,5,3,3,3,salicylic acid cleanser,ceramide moisturizer,hyaluronic acid serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50 matte,1) Cleanser: salicylic acid cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: ceramide moisturizer
RTN0000386,REC0000386,combination,5,3,3,5,ultra gentle cleanser,ceramide moisturizer,peptide serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: peptide serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: ceramide moisturizer
RTN0000387,REC0000387,combination,5,3,5,0,milk cleanser,oil free gel moisturizer,centella serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: centella serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf30,1) Cleanser: milk cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: oil free gel moisturizer
RTN0000388,REC0000388,combination,5,3,5,0,milk cleanser,soothing moisturizer,niacinamide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: soothing moisturizer | 4) SPF: mineral spf50,1) Cleanser: milk cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: soothing moisturizer
RTN0000389,REC0000389,combination,5,3,5,1,milk cleanser,ceramide moisturizer,vitamin c serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf30,1) Cleanser: milk cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: ceramide moisturizer
RTN0000390,REC0000390,combination,5,4,0,3,hydrating cleanser,rich cream moisturizer,centella serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: centella serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: hydrating cleanser | 2) Treatment: barrier repair | 3) Moisturizer: rich cream moisturizer
RTN0000391,REC0000391,combination,5,4,2,5,acne control cleanser,ceramide moisturizer,retinol serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: retinol serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: mineral spf50,1) Cleanser: acne control cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: ceramide moisturizer
RTN0000392,REC0000392,combination,5,4,3,3,acne control cleanser,ceramide moisturizer,hyaluronic acid serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf30,1) Cleanser: acne control cleanser | 2) Treatment: calming treatment | 3) Moisturizer: ceramide moisturizer
RTN0000393,REC0000393,combination,5,4,4,1,milk cleanser,oil free gel moisturizer,centella serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: centella serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: mineral spf50,1) Cleanser: milk cleanser | 2) Treatment: calming treatment | 3) Moisturizer: oil free gel moisturizer
RTN0000394,REC0000394,combination,5,4,4,3,salicylic acid cleanser,rich cream moisturizer,peptide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: peptide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: mineral spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: barrier repair | 3) Moisturizer: rich cream moisturizer
RTN0000395,REC0000395,combination,5,4,5,0,ultra gentle cleanser,rich cream moisturizer,peptide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: peptide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf30,1) Cleanser: ultra gentle cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: rich cream moisturizer
RTN0000396,REC0000396,combination,5,4,5,1,gentle foam cleanser,oil free gel moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: peptide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: calming treatment | 3) Moisturizer: oil free gel moisturizer
RTN0000397,REC0000397,combination,5,4,5,5,hydrating cleanser,rich cream moisturizer,niacinamide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf30,1) Cleanser: hydrating cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: rich cream moisturizer
RTN0000398,REC0000398,combination,5,5,0,0,gentle foam cleanser,rich cream moisturizer,vitamin c serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: calming treatment | 3) Moisturizer: rich cream moisturizer
RTN0000399,REC0000399,combination,5,5,0,5,gentle foam cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: mineral spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: ceramide moisturizer
