recommendation_rule_id,skin_type,acne_level_0_5,dryness_level_0_5,oiliness_level_0_5,sensitivity_level_0_5,recommended_cleanser,recommended_moisturizer,recommended_serum,recommended_spf,recommended_treatment,source_datasets
REC0000273,combination,4,1,0,2,gentle foam cleanser,ceramide moisturizer,retinol serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000274,combination,4,1,0,4,salicylic acid cleanser,oil free gel moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000275,combination,4,1,1,0,milk cleanser,soothing moisturizer,niacinamide serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000276,combination,4,1,2,4,milk cleanser,oil free gel moisturizer,peptide serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000277,combination,4,1,2,5,ultra gentle cleanser,light lotion moisturizer,retinol serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000278,combination,4,1,3,0,ultra gentle cleanser,ceramide moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000279,combination,4,1,4,1,milk cleanser,ceramide moisturizer,retinol serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000280,combination,4,1,4,3,salicylic acid cleanser,soothing moisturizer,hyaluronic acid serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000281,combination,4,1,4,4,hydrating cleanser,oil free gel moisturizer,hyaluronic acid serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000282,combination,4,1,4,5,gentle foam cleanser,soothing moisturizer,vitamin c serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000283,combination,4,1,4,5,hydrating cleanser,soothing moisturizer,niacinamide serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000284,combination,4,2,0,2,gentle foam cleanser,rich cream moisturizer,retinol serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000285,combination,4,2,0,2,hydrating cleanser,ceramide moisturizer,retinol serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000286,combination,4,2,1,4,gentle foam cleanser,light lotion moisturizer,centella serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000287,combination,4,2,2,1,salicylic acid cleanser,oil free gel moisturizer,retinol serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000288,combination,4,2,2,3,hydrating cleanser,ceramide moisturizer,retinol serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000289,combination,4,2,2,3,milk cleanser,soothing moisturizer,vitamin c serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000290,combination,4,2,3,0,hydrating cleanser,soothing moisturizer,hyaluronic acid serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000291,combination,4,2,3,0,ultra gentle cleanser,oil free gel moisturizer,retinol serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000292,combination,4,2,3,4,salicylic acid cleanser,light lotion moisturizer,niacinamide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000293,combination,4,2,3,5,salicylic acid cleanser,light lotion moisturizer,vitamin c serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000294,combination,4,2,4,1,milk cleanser,light lotion moisturizer,peptide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000295,combination,4,2,5,4,gentle foam cleanser,ceramide moisturizer,centella serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000296,combination,4,3,0,3,hydrating cleanser,light lotion moisturizer,niacinamide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000297,combination,4,3,0,3,salicylic acid cleanser,rich cream moisturizer,centella serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000298,combination,4,3,0,5,milk cleanser,ceramide moisturizer,centella serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000299,combination,4,3,1,0,hydrating cleanser,ceramide moisturizer,peptide serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000300,combination,4,3,1,0,ultra gentle cleanser,light lotion moisturizer,retinol serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000301,combination,4,3,1,2,salicylic acid cleanser,ceramide moisturizer,hyaluronic acid serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000302,combination,4,3,2,1,milk cleanser,ceramide moisturizer,hyaluronic acid serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000303,combination,4,3,2,4,hydrating cleanser,ceramide moisturizer,retinol serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000304,combination,4,3,3,1,hydrating cleanser,rich cream moisturizer,peptide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000305,combination,4,3,3,3,salicylic acid cleanser,oil free gel moisturizer,retinol serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000306,combination,4,3,4,0,salicylic acid cleanser,soothing moisturizer,vitamin c serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000307,combination,4,3,4,1,hydrating cleanser,oil free gel moisturizer,retinol serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000308,combination,4,3,5,4,acne control cleanser,rich cream moisturizer,niacinamide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000309,combination,4,3,5,5,gentle foam cleanser,ceramide moisturizer,niacinamide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000310,combination,4,4,0,0,acne control cleanser,oil free gel moisturizer,retinol serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000311,combination,4,4,1,3,acne control cleanser,rich cream moisturizer,niacinamide serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000312,combination,4,4,2,0,acne control cleanser,oil free gel moisturizer,centella serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000313,combination,4,4,2,0,gentle foam cleanser,soothing moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000314,combination,4,4,2,4,gentle foam cleanser,oil free gel moisturizer,hyaluronic acid serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000315,combination,4,4,2,4,milk cleanser,light lotion moisturizer,peptide serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000316,combination,4,4,4,5,salicylic acid cleanser,oil free gel moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000317,combination,4,4,5,0,gentle foam cleanser,oil free gel moisturizer,centella serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000318,combination,4,4,5,0,ultra gentle cleanser,ceramide moisturizer,peptide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000319,combination,4,4,5,3,milk cleanser,ceramide moisturizer,retinol serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000320,combination,4,4,5,4,salicylic acid cleanser,soothing moisturizer,retinol serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000321,combination,4,4,5,5,salicylic acid cleanser,ceramide moisturizer,peptide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000322,combination,4,5,0,3,gentle foam cleanser,ceramide moisturizer,hyaluronic acid serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000323,combination,4,5,0,3,salicylic acid cleanser,ceramide moisturizer,peptide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000324,combination,4,5,0,4,acne control cleanser,oil free gel moisturizer,peptide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000325,combination,4,5,1,2,ultra gentle cleanser,ceramide moisturizer,peptide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000326,combination,4,5,2,1,salicylic acid cleanser,light lotion moisturizer,peptide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000327,combination,4,5,2,5,gentle foam cleanser,rich cream moisturizer,vitamin c serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000328,combination,4,5,4,5,salicylic acid cleanser,rich cream moisturizer,retinol serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000329,combination,4,5,5,1,acne control cleanser,soothing moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000330,combination,4,5,5,3,acne control cleanser,soothing moisturizer,retinol serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000331,combination,5,0,0,0,gentle foam cleanser,soothing moisturizer,hyaluronic acid serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000332,combination,5,0,1,4,milk cleanser,oil free gel moisturizer,vitamin c serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000333,combination,5,0,2,4,milk cleanser,light lotion moisturizer,centella serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000334,combination,5,0,2,5,ultra gentle cleanser,soothing moisturizer,peptide serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000335,combination,5,0,3,0,acne control cleanser,oil free gel moisturizer,retinol serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000336,combination,5,0,4,0,milk cleanser,ceramide moisturizer,hyaluronic acid serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000337,combination,5,0,4,1,ultra gentle cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000338,combination,5,0,4,2,acne control cleanser,ceramide moisturizer,peptide serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000339,combination,5,0,4,5,acne control cleanser,oil free gel moisturizer,niacinamide serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000340,combination,5,0,5,2,milk cleanser,soothing moisturizer,centella serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000341,combination,5,0,5,4,ultra gentle cleanser,rich cream moisturizer,centella serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000342,combination,5,0,5,5,gentle foam cleanser,rich cream moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000343,combination,5,1,0,1,acne control cleanser,ceramide moisturizer,centella serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000344,combination,5,1,0,1,acne control cleanser,soothing moisturizer,hyaluronic acid serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000345,combination,5,1,0,2,gentle foam cleanser,soothing moisturizer,peptide serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000346,combination,5,1,0,2,salicylic acid cleanser,light lotion moisturizer,niacinamide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000347,combination,5,1,0,4,gentle foam cleanser,light lotion moisturizer,peptide serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000348,combination,5,1,1,0,ultra gentle cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000349,combination,5,1,1,1,salicylic acid cleanser,oil free gel moisturizer,retinol serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000350,combination,5,1,1,2,ultra gentle cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000351,combination,5,1,2,3,salicylic acid cleanser,oil free gel moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000352,combination,5,1,2,3,ultra gentle cleanser,light lotion moisturizer,vitamin c serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000353,combination,5,1,2,4,acne control cleanser,oil free gel moisturizer,hyaluronic acid serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000354,combination,5,1,2,4,hydrating cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000355,combination,5,1,3,2,salicylic acid cleanser,oil free gel moisturizer,retinol serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000356,combination,5,1,3,2,ultra gentle cleanser,light lotion moisturizer,vitamin c serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000357,combination,5,1,3,5,milk cleanser,soothing moisturizer,peptide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000358,combination,5,1,4,4,acne control cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000359,combination,5,1,4,4,hydrating cleanser,oil free gel moisturizer,centella serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000360,combination,5,1,4,5,acne control cleanser,light lotion moisturizer,peptide serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000361,combination,5,1,4,5,hydrating cleanser,rich cream moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000362,combination,5,1,5,4,salicylic acid cleanser,light lotion moisturizer,hyaluronic acid serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000363,combination,5,2,0,1,milk cleanser,ceramide moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000364,combination,5,2,2,2,salicylic acid cleanser,rich cream moisturizer,peptide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000365,combination,5,2,3,0,acne control cleanser,oil free gel moisturizer,retinol serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000366,combination,5,2,3,0,gentle foam cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000367,combination,5,2,3,4,gentle foam cleanser,oil free gel moisturizer,retinol serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000368,combination,5,2,4,0,salicylic acid cleanser,light lotion moisturizer,peptide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000369,combination,5,2,4,2,salicylic acid cleanser,light lotion moisturizer,centella serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000370,combination,5,2,4,3,ultra gentle cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000371,combination,5,2,4,3,ultra gentle cleanser,rich cream moisturizer,vitamin c serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000372,combination,5,2,5,2,hydrating cleanser,oil free gel moisturizer,niacinamide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000373,combination,5,2,5,3,milk cleanser,ceramide moisturizer,vitamin c serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000374,combination,5,3,0,3,hydrating cleanser,soothing moisturizer,retinol serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000375,combination,5,3,0,5,acne control cleanser,oil free gel moisturizer,hyaluronic acid serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000376,combination,5,3,1,0,salicylic acid cleanser,ceramide moisturizer,retinol serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000377,combination,5,3,1,2,ultra gentle cleanser,rich cream moisturizer,niacinamide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000378,combination,5,3,2,0,acne control cleanser,soothing moisturizer,niacinamide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000379,combination,5,3,2,2,gentle foam cleanser,light lotion moisturizer,peptide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000380,combination,5,3,2,3,acne control cleanser,oil free gel moisturizer,retinol serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000381,combination,5,3,2,3,acne control cleanser,rich cream moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000382,combination,5,3,2,5,gentle foam cleanser,light lotion moisturizer,centella serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000383,combination,5,3,3,0,acne control cleanser,rich cream moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000384,combination,5,3,3,0,hydrating cleanser,light lotion moisturizer,retinol serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000385,combination,5,3,3,3,salicylic acid cleanser,ceramide moisturizer,hyaluronic acid serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000386,combination,5,3,3,5,ultra gentle cleanser,ceramide moisturizer,peptide serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000387,combination,5,3,5,0,milk cleanser,oil free gel moisturizer,centella serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000388,combination,5,3,5,0,milk cleanser,soothing moisturizer,niacinamide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000389,combination,5,3,5,1,milk cleanser,ceramide moisturizer,vitamin c serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000390,combination,5,4,0,3,hydrating cleanser,rich cream moisturizer,centella serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000391,combination,5,4,2,5,acne control cleanser,ceramide moisturizer,retinol serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000392,combination,5,4,3,3,acne control cleanser,ceramide moisturizer,hyaluronic acid serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000393,combination,5,4,4,1,milk cleanser,oil free gel moisturizer,centella serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000394,combination,5,4,4,3,salicylic acid cleanser,rich cream moisturizer,peptide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000395,combination,5,4,5,0,ultra gentle cleanser,rich cream moisturizer,peptide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000396,combination,5,4,5,1,gentle foam cleanser,oil free gel moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000397,combination,5,4,5,5,hydrating cleanser,rich cream moisturizer,niacinamide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000398,combination,5,5,0,0,gentle foam cleanser,rich cream moisturizer,vitamin c serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000399,combination,5,5,0,5,gentle foam cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000400,combination,5,5,1,0,milk cleanser,soothing moisturizer,peptide serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000401,combination,5,5,1,1,hydrating cleanser,soothing moisturizer,hyaluronic acid serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000402,combination,5,5,1,5,hydrating cleanser,rich cream moisturizer,hyaluronic acid serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000403,combination,5,5,2,3,acne control cleanser,oil free gel moisturizer,niacinamide serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000404,combination,5,5,2,3,salicylic acid cleanser,oil free gel moisturizer,niacinamide serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000405,combination,5,5,2,5,milk cleanser,oil free gel moisturizer,niacinamide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000406,combination,5,5,3,0,gentle foam cleanser,rich cream moisturizer,hyaluronic acid serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000407,combination,5,5,4,3,milk cleanser,ceramide moisturizer,centella serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000408,dry,0,0,0,1,hydrating cleanser,rich cream moisturizer,retinol serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000409,dry,0,0,1,4,gentle foam cleanser,light lotion moisturizer,centella serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000410,dry,0,0,2,1,salicylic acid cleanser,rich cream moisturizer,peptide serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000411,dry,0,0,2,1,ultra gentle cleanser,soothing moisturizer,peptide serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000412,dry,0,0,2,2,hydrating cleanser,light lotion moisturizer,peptide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000413,dry,0,0,3,0,ultra gentle cleanser,oil free gel moisturizer,niacinamide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000414,dry,0,0,4,0,ultra gentle cleanser,soothing moisturizer,niacinamide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000415,dry,0,0,4,1,hydrating cleanser,light lotion moisturizer,niacinamide serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000416,dry,0,0,4,4,hydrating cleanser,ceramide moisturizer,centella serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000417,dry,0,0,4,4,hydrating cleanser,soothing moisturizer,centella serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000418,dry,0,0,4,5,hydrating cleanser,light lotion moisturizer,hyaluronic acid serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000419,dry,0,1,0,0,hydrating cleanser,oil free gel moisturizer,hyaluronic acid serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000420,dry,0,1,0,1,milk cleanser,rich cream moisturizer,hyaluronic acid serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000421,dry,0,1,0,3,acne control cleanser,oil free gel moisturizer,retinol serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000422,dry,0,1,1,3,hydrating cleanser,light lotion moisturizer,retinol serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000423,dry,0,1,1,4,acne control cleanser,ceramide moisturizer,centella serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000424,dry,0,1,1,5,acne control cleanser,rich cream moisturizer,peptide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
